,selected_digits,test_loss,test_acc,test_dist_loss,test_dist_acc,N_test,log_sj_martingale,log_cj_martingale,cum_loss_base,roc_auc_base,cum_loss_prot,roc_auc_prot
0,"[2, 7]",0.05437815934419632,0.981067955493927,1.5088063478469849,0.59122633934021,2006,277.61480474620737,277.61480474620737,1418.844075425402,0.678924453280318,779.1924545868036,0.8224751491053679
0,"[2, 8]",0.02063850872218609,0.9945164918899536,1.3458945751190186,0.6763690114021301,2027,194.1295242139095,194.1295242139095,1136.2956187888676,0.801260994269447,688.7786093948969,0.9427548324158865
0,"[2, 9]",0.0271059088408947,0.9897109866142273,1.8495895862579346,0.5279597043991089,1985,301.9131432349074,301.9131432349074,1651.2055387642397,0.6439473475794872,955.6376664416945,0.8248831830264581
0,"[3, 4]",0.012753506191074848,0.9964860081672668,1.0932098627090454,0.6668334603309631,1999,229.52317710486034,229.52317710486034,1094.963838333657,0.8126766766766766,566.0278514550951,0.9355445445445445
0,"[3, 5]",0.05899866297841072,0.9742376804351807,0.9548145532608032,0.6922315955162048,2021,212.91302290913242,212.91302290913242,982.8815646706387,0.756837071905565,492.1734249635656,0.9117356103657474
0,"[3, 6]",0.011272958479821682,0.9954268932342529,0.6672479510307312,0.807672917842865,1981,121.1825016119429,121.1825016119429,615.5048251515489,0.8948153856504162,336.00851798251324,0.958455400410594
0,"[3, 7]",0.05078218877315521,0.9842983484268188,1.4054229259490967,0.5877939462661743,1999,290.9422609086285,290.9422609086285,1393.5835305872477,0.635585085085085,723.2675947262194,0.8335915915915916
0,"[3, 8]",0.08940394967794418,0.9632056355476379,1.333112120628357,0.5990099310874939,2020,295.40361176021077,295.40361176021077,1382.3678623665326,0.8823642447540587,701.6591352514657,0.9756896955721637
0,"[3, 9]",0.04473351687192917,0.9851411581039429,1.1684679985046387,0.6268958449363708,1978,267.37081939859047,267.37081939859047,1211.9489336772522,0.7338247338247338,595.9206772206496,0.8927906455996343
0,"[4, 5]",0.0059811947867274284,0.9994663596153259,1.2419077157974243,0.6933729648590088,2022,183.55825236608698,183.55825236608698,1060.248605145344,0.8124378669275931,637.0703521270871,0.9416301369863014
0,"[4, 6]",0.06941103935241699,0.9804124236106873,2.1731605529785156,0.5211907029151917,1982,262.8768766066641,262.8768766066641,1687.196417942644,0.5896344195519349,1081.5316267153767,0.8172953156822811
0,"[4, 7]",0.01004395354539156,0.9985074996948242,0.2849878966808319,0.9250000715255737,2000,54.99309234149183,54.99309234149183,276.32030823252495,0.95876,148.51632197710938,0.98731
0,"[4, 8]",0.04315555468201637,0.984151303768158,1.1806761026382446,0.6704602241516113,2021,215.14593539546593,215.14593539546593,1111.6585146303532,0.7542296767874632,615.7434266332684,0.9243281096963761
0,"[4, 9]",0.046234581619501114,0.9839276671409607,0.632842481136322,0.7614957094192505,1979,181.5413044743849,181.5413044743849,734.876650497179,0.8314330949948928,315.99376585258113,0.9707701736465781
